"sp";"treeid";"tleaf";"anet.21p";"anet.0p";"Rp.M1";"phi.M1";"gsw.21p";"gsw.0p";"gsw.delta";"gsw.percent";"E.21p";"E.0p";"E.delta";"E.percent";"ETR.21p";"ETR.0p";"ETR.delta";"ETR.percent";"JT";"Rp.ETR";"phi.ETR"
"7";"4";NA;7.567063234;12.70038674;5.133323506;0.678377244547815;0.085862105;0.116596383;0.030734278;0.357949272266269;0.001137092;0.001543384;0.000406292;0.35730793990284;43.16766809;49.26569469;6.0980266;0.141263748305474;92.43336278;4.847092487;0.640551339021624
"7";"6";NA;8.663941791;13.5296494;4.865707609;0.561604374356998;0.084763709;0.109260878;0.024497169;0.289005392626224;0.001113708;0.001427931;0.000314223;0.282141279401782;66.46454539;62.58643483;-3.87811056;-0.0583485606836556;129.05098022;7.53293442133333;0.869458106142686
"7";"7";NA;9.190578496;13.93437006;4.743791564;0.516158103221101;0.115335123;0.118242287;0.002907164;0.0252062331437406;0.001511673;0.001552661;4.0988e-05;0.0271143296202287;56.44151559;52.19721649;-4.2442991;-0.0751981773634722;108.63873208;5.65636817466667;0.615452898544795
"7";"9";NA;8.792779354;9.574101469;0.781322115;0.088859515693927;0.144271045;0.094769184;-0.049501861;-0.343117089087419;0.001967485;0.001292632;-0.000674853;-0.343002869145127;54.16073722;37.34678789;-16.81394933;-0.310445355677158;91.50752511;4.36136730783333;0.496016917091098
"7";"11";NA;6.715149976;10.5259284;3.810778424;0.567489696822819;0.03661251;0.095884084;0.059271574;1.61888857114686;0.000482374;0.001259873;0.000777499;1.61181780112527;47.84624352;40.10001318;-7.74623034;-0.161898401423343;87.9462567;4.75713806633333;0.708418737233775
"7";"15";NA;8.947455531;11.72933204;2.781876509;0.310912582841201;0.082504035;0.121268654;0.038764619;0.469851189702419;0.00111217;0.00158471;0.00047254;0.424881088322828;45.54020032;49.78865551;4.24845519;0.0932902174374977;95.32885583;4.62825280883333;0.517270277879332
"7";"23";NA;9.029613835;12.34680096;3.317187125;0.367367551438594;0.106446682;0.076809482;-0.0296372;-0.278422957326185;0.001396831;0.001029462;-0.000367369;-0.263001751822518;76.66547071;49.95817191;-26.7072988;-0.348361505546934;126.62364262;7.20876560666667;0.798347054303089
"7";"25";NA;8.500352059;11.58891081;3.088558751;0.363344803787261;0.073129325;0.076551983;0.00342265800000001;0.0468028113209032;0.000975541;0.001028768;5.3227e-05;0.0545615202231377;53.6634095;53.9597824;0.296372900000001;0.00552281159101532;107.6231919;5.80181530533333;0.682538236659326
"7";"33";NA;6.270796761;10.10306318;3.832266419;0.611129106086492;0.052960171;0.065627454;0.012667283;0.239185084957524;0.000713229;0.000868009;0.00015478;0.217013049104846;43.89674549;37.95171356;-5.94503193;-0.135432179849286;81.84845905;4.3971060005;0.701203717499975
"7";"35";NA;6.520946362;9.878467527;3.357521165;0.514882499964351;0.064601028;0.082992122;0.018391094;0.284687327266681;0.00084694;0.001068391;0.000221451;0.261471887028597;48.30753981;38.93184495;-9.37569486;-0.194083468064734;87.23938476;4.76296660933333;0.730410333857203
