"sp";"treeid";"setTleaf";"anet.21p";"anet.0p";"Rd";"corranet";"anet.delta";"pr.CO2";"pr.real";"pr.percent";"gsw.21p";"gsw.0p";"gsw.delta";"gsw.percent";"E.21p";"E.0p";"E.delta";"E.percent";"ETR.21p";"ETR.0p";"ETR.delta";"ETR.percent";"JT";"JO1";"JC1";"JO2";"JC2";"JO1.percent";"JC1.percent";"JO2.percent";"JC2.percent";"NPQ.21p";"NPQ.0p";"NPQ.delta";"NPQ.percent"
"Acer platanoides";"8";"25";7.755144631;8.656393424;0.54467073280574;7.21047389819426;0.901248792999999;0.450624396499999;1.3518731895;0.174319532880933;0.097168694;0.107989219;0.010820525;0.111358139690547;0.001307996;0.001473529;0.000165533;0.1265546683629;38.18685711;35.82056509;-2.36629202;-0.0619661370189152;74.0074222;12.900939267626;61.106482932374;28.657895784;45.349526416;0.174319532880933;0.825680467119067;0.387230022774662;0.612769977225338;-0.999290796;-0.999162025;0.000128771000000083;-0.000128862389722324
"Acer platanoides";"9";"25";6.319735691;8.593680742;0.46494812027814;5.85478757072186;2.273945051;1.1369725255;3.4109175765;0.539724720031808;0.057207605;0.079236842;0.022029237;0.385075323464424;0.00077715;0.001082103;0.000304953;0.3923991507431;32.58073064;22.83310753;-9.74762311;-0.299183686753564;55.41383817;29.9082182921912;25.5056198778088;20.0899302706667;35.3239078993333;0.539724720031808;0.460275279968192;0.362543561935455;0.637456438064545;-0.999340101;-0.999150778;0.000189323000000075;-0.000189448016556752
"Acer platanoides";"9";"30";5.809436124;6.603033472;0.43660608232696;5.37283004167304;0.793597348;0.396798674;1.190396022;0.204907326045332;0.075408294;0.026912076;-0.048496218;-0.643115172450394;0.00152671;0.000557993;-0.000968717;-0.63451277583824;33.09214437;22.81155856;-10.28058581;-0.310665446610343;55.90370293;11.4550782834189;44.4486246465811;21.7773056226667;34.1263973073333;0.204907326045332;0.795092673954668;0.389550324598984;0.610449675401016;-0.999286273;-0.99914987;0.000136402999999952;-0.000136500424038099
"Acer platanoides";"9";"35";3.535764209;6.579330505;0.31032634416786;3.22543786483214;3.043566296;1.521783148;4.565349444;1.29119171249578;0.026464677;0.055967957;0.02950328;1.11481730912491;0.000793393;0.001645974;0.000852581;1.07460111193318;38.87619501;16.49063559;-22.38555942;-0.575816625424423;55.3668306;71.4891928178778;-16.1223622178778;27.4825158426667;27.8843147573333;1.29119171249578;-0.291191712495781;0.496371483518991;0.503628516481009;-0.999199256;-0.999257432;-5.81759999999099e-05;5.82226214146719e-05
"Fagus sylvatica";"1";"25";5.674225469;6.877796544;0.42909648254826;5.24512898645174;1.203571075;0.6017855375;1.8053566125;0.318167937168378;0.118936586;0.109167131;-0.009769455;-0.0821400321680664;0.001536228;0.001411096;-0.000125132;-0.0814540549970447;10.94269206;23.94631365;13.00362159;1.18833843799128;34.88900571;11.1005629766064;23.7884427333936;8.12806922266667;26.7609364873333;0.318167937168378;0.681832062831622;0.232969356886458;0.767030643113542;-0.999544372;-0.999161746;0.000382626000000053;-0.00038280041458735
"Fagus sylvatica";"2";"25";8.68494592;12.0774915;0.5963118963968;8.0886340236032;3.39254558;1.69627279;5.08881837;0.58593552762157;0.192489216;0.22056926;0.028080044;0.145878530670518;0.002422697;0.002753507;0.00033081;0.13654617147749;37.99147843;44.40934447;6.41786604;0.168929094239516;82.4008229;48.281569642363;34.119253257637;31.7740261466667;50.6267967533333;0.58593552762157;0.41406447237843;0.385603262545412;0.614396737454588;-0.999431894;-0.999198412;0.000233481999999952;-0.000233614717922892
"Fagus sylvatica";"2";"30";10.34041404;14.24167651;0.6882565957816;9.6521574442184;3.90126247;1.950631235;5.851893705;0.565924505765728;0.250500478;0.204904419;-0.045596059;-0.182019848281487;0.004286212;0.004043707;-0.000242505;-0.0565779294164639;56.57133151;12.66496981;-43.9063617;-0.77612388692387;69.23630132;39.182519605568;30.053781714432;18.5830967733333;50.6532045466667;0.565924505765728;0.434075494234272;0.268401061568049;0.731598938431951;-0.999224632;-0.999473031;-0.000248398999999955;0.000248591750088037
"Fagus sylvatica";"2";"35";12.09496474;18.73807002;0.7857043416596;11.3092603983404;6.64310528;3.32155264;9.96465792;0.823868290169153;0.256733997;0.250245826;-0.00648817099999999;-0.0252719588204751;0.007760368;0.008010666;0.000250297999999999;0.0322533673660836;63.48822726;62.03152577;-1.45670149;-0.0229444347852783;125.51975303;103.41174431128;22.1080087187195;51.4265960466667;74.0931569833333;0.823868290169153;0.176131709830847;0.409709187639776;0.590290812360224;-0.999282424;-0.99903592;0.000246504000000036;-0.000246681012374172
"Fagus sylvatica";"3";"25";13.97339349;16.38143844;0.8900322744346;13.0833612155654;2.40804495;1.204022475;3.612067425;0.258496078821867;0.186987306;0.218487053;0.031499747;0.16845928033211;0.002425518;0.002835641;0.000410123;0.169086768269706;97.74002061;70.38395832;-27.35606229;-0.279885988556883;168.12397893;43.4593893093352;124.664589620665;74.82026998;93.30370895;0.258496078821867;0.741503921178133;0.445030330927108;0.554969669072892;-0.999243845;-0.998794145;0.000449699999999997;-0.000450040300223213
"Fagus sylvatica";"3";"30";15.00028524;22.84770747;0.9470658422296;14.0532193977704;7.84742223;3.923711115;11.771133345;0.784727300625651;0.241378717;0.233390045;-0.007988672;-0.0330960082118591;0.00399251;0.003949206;-4.33040000000001e-05;-0.0108463097149412;86.03357427;85.21054139;-0.82303288;-0.00956641505346584;171.24411566;134.379932629899;36.8641830301014;74.1619831333333;97.0821325266667;0.784727300625651;0.215272699374349;0.433077556256471;0.566922443743529;-0.999157485;-0.998874621;0.000282863999999994;-0.000283102518118046
