"sp";"treeid";"setTleaf";"anet.21p";"anet.0p";"Rd";"corranet";"anet.delta";"pr.CO2";"pr.real";"pr.percent";"gsw.21p";"gsw.0p";"gsw.delta";"gsw.percent";"E.21p";"E.0p";"E.delta";"E.percent";"ETR.21p";"ETR.0p";"ETR.delta";"ETR.percent";"JT";"JO1";"JC1";"JO2";"JC2";"JO1.percent";"JC1.percent";"JO2.percent";"JC2.percent";"NPQ.21p";"NPQ.0p";"NPQ.delta";"NPQ.percent"
"Docksta";"8";"30";12.98271734;18.713025;0.8350101210636;12.1477072189364;5.73030766;2.86515383;8.59546149;0.662069524036945;0.142353888;0.163530184;0.021176296;0.148758114706358;0.002609455;0.00291075;0.000301295;0.115462807367822;119.028133;82.79775751;-36.23037549;-0.304384976701264;201.82589051;133.622771268288;68.2031192417117;99.9300141;101.89587641;0.662069524036945;0.337930475963055;0.495129806426142;0.504870193573858;-0.998962555;-0.998838387;0.000124167999999925;-0.000124296951250515
"Docksta";"8";"35";10.43771417;17.76710743;0.6936606450018;9.7440535249982;7.32939326;3.66469663;10.99408989;1.05330436443634;0.182338139;0.186706047;0.004367908;0.0239549883746483;0.005621789;0.005306847;-0.000314942;-0.0560216685471476;132.8577973;71.18050642;-61.67729088;-0.464235386506743;204.03830372;214.914435820463;-10.8761321004629;108.19163136;95.84667236;1.05330436443634;-0.0533043644363371;0.530251572314924;0.469748427685076;-0.998925465;-0.998952349;-2.68839999999493e-05;2.69129188732307e-05
"Dunker";"2";"25";5.768726596;8.188174837;0.43434507514184;5.33438152085816;2.419448241;1.2097241205;3.6291723615;0.629111520732573;0.046114005;0.049918697;0.003804692;0.08250621476057;0.00061881;0.000665045;4.62349999999999e-05;0.0747159871366008;56.59642927;31.16832679;-25.42810248;-0.449288105415489;87.76475606;55.2138191516299;32.5509369083701;43.1265664506667;44.6381896093333;0.629111520732573;0.370888479267427;0.491388210789116;0.508611789210884;-0.999228624;-0.999160734;6.78899999999594e-05;-6.7942409143755e-05
"Dunker";"2";"30";5.959793602;8.234023518;0.44495693665508;5.51483666534492;2.274229916;1.137114958;3.411344874;0.572393123287896;0.056213627;0.064285296;0.008071669;0.14358918701332;0.001247185;0.001376397;0.000129212;0.103602913761791;79.03139148;32.59310757;-46.43828391;-0.587592892398356;111.62449905;63.8930956466763;47.7314034033237;58.5235497613333;53.1009492886667;0.572393123287896;0.427606876712104;0.524289472825485;0.475710527174515;-0.999133504;-0.999127301;6.20299999998242e-06;-6.20837953601686e-06
"Dunker";"2";"35";6.8148736;8.71733231;0.492448079744;6.322425520256;1.90245871;0.951229355;2.853688065;0.418744093067258;0.070372217;0.060199982;-0.010172235;-0.144549019963376;0.002531923;0.002191129;-0.000340794;-0.134598879981737;116.5371304;46.66341575;-69.87371465;-0.599583277966144;163.20054615;68.3392646856629;94.8612814643371;90.6273678333333;72.5731783166667;0.418744093067258;0.581255906932742;0.555312895522031;0.444687104477969;-0.99912856;-0.999069372;5.91880000000433e-05;-5.92396237777882e-05
"Dunker";"5";"25";8.488197109;11.56551549;0.58538446743386;7.90281264156614;3.077318381;1.5386591905;4.6159775715;0.543811307893133;0.052162307;0.097070555;0.044908248;0.860932933813683;0.001014673;0.001818115;0.000803442;0.791823572717516;78.29481002;46.94898943;-31.34582059;-0.400356301803311;125.24379945;68.1089943844097;57.1348050655903;60.8606740093333;64.3831254406667;0.543811307893133;0.456188692106867;0.485937621475866;0.514062378524134;-0.998936156;-0.998908406;2.77499999999931e-05;-2.77795531108928e-05
"Dunker";"5";"30";8.337346201;11.71149506;0.57700620800354;7.76033999299646;3.374148859;1.6870744295;5.0612232885;0.607054471108918;0.064568704;0.057122122;-0.00744658200000001;-0.115328038797248;0.00168105;0.00147341;-0.00020764;-0.123518039320663;97.46061411;51.02206125;-46.43855286;-0.476485329833717;148.48267536;90.1370719595019;58.3456034004981;76.7555270373333;71.7271483226667;0.607054471108918;0.392945528891082;0.516932543485209;0.483067456514791;-0.998968104;-0.998926279;4.18250000000508e-05;-4.18682036319058e-05
"Dunker";"5";"35";7.051942731;12.34888551;0.50561489927974;6.54632783172026;5.296942779;2.6484713895;7.9454141685;1.12669862356827;0.081803003;0.088179152;0.006376149;0.0779451703013885;0.002907918;0.003161442;0.000253524;0.0871840265096885;94.78371084;28.51574748;-66.26796336;-0.699149281798683;123.29945832;138.921329975858;-15.6218716558579;63.394458264;59.905000056;1.12669862356827;-0.126698623568275;0.514150338758763;0.485849661241237;-0.998979469;-0.999090722;-0.000111253000000033;0.000111366653121911
"Dunker";"7";"25";7.103839184;9.360847439;0.50849722827936;6.59534195572064;2.257008255;1.1285041275;3.3855123825;0.476575031445701;0.0399;0.037234817;-0.00266518299999999;-0.06679656641604;0.000532678;0.000505593;-2.70849999999999e-05;-0.0508468530707105;73.42957319;34.17263016;-39.25694303;-0.534620335166897;107.60220335;51.2805234451529;56.3216799048471;52.791231076;54.810972274;0.476575031445701;0.523424968554299;0.490614777694513;0.509385222305487;-0.998979236;-0.998947761;3.1475000000003e-05;-3.15071613760779e-05
"Dunker";"7";"30";7.725394488;9.123721333;0.54301840986352;7.18237607813648;1.398326845;0.6991634225;2.0974902675;0.271505910896598;0.040943415;0.038321355;-0.00262206;-0.0640410674097409;0.001020958;0.000905929;-0.000115029;-0.112667710131073;98.41824489;43.89633059;-54.5219143;-0.553981778083302;142.31457548;38.6392484495601;103.67532703044;74.2753316853333;68.0392437946667;0.271505910896598;0.728494089103402;0.521909519350472;0.478090480649527;-0.99900806;-0.998972762;3.52980000000169e-05;-3.53330482639118e-05
"Dunker";"7";"35";7.805593905;12.79704104;0.5474726854837;7.2581212195163;4.991447135;2.4957235675;7.4871707025;0.959205768788967;0.075117495;0.073301819;-0.001815676;-0.0241711468147334;0.002784165;0.002664132;-0.000120033;-0.0431127465505815;103.2539677;51.24912751;-52.00484019;-0.503659484942001;154.50309521;148.200260221183;6.30283498881701;82.1871463933333;72.3159488166667;0.959205768788967;0.0407942312110332;0.531944983248555;0.468055016751445;-0.999011803;-0.999045243;-3.34399999999402e-05;3.34730779951958e-05
"Nobbele";"1";"25";5.498600295;7.255998426;0.4193422603843;5.0792580346157;1.757398131;0.8786990655;2.6360971965;0.479412405898472;0.040508594;0.025977206;-0.014531388;-0.358723583445034;0.000600573;0.000386611;-0.000213962;-0.356263102070856;24.25993227;19.7253628;-4.53456947;-0.186915998756002;43.98529507;21.0870961336629;22.8981989363371;14.6605959266667;29.3246991433333;0.479412405898472;0.520587594101528;0.333306754071678;0.666693245928322;-0.999241522;-0.998999806;0.000241716000000003;-0.000241899475430328
"Nobbele";"1";"30";5.13670427;7.11948386;0.3992425551558;4.7374617148442;1.98277959;0.991389795;2.974169385;0.579003428788008;0.047975536;0.050050223;0.002074687;0.0432446862084042;0.001100034;0.00111697;1.69359999999999e-05;0.0153958877634691;49.5504272;25.90939621;-23.64103099;-0.477110538211465;75.45982341;43.6914964901276;31.7683269198724;36.6086708866667;38.8511525233333;0.579003428788008;0.420996571211992;0.485141221279551;0.514858778720449;-0.998934288;-0.998956194;-2.19060000000715e-05;2.1929370393252e-05
"Nobbele";"1";"35";4.841914895;6.169336063;0.3828699532683;4.4590449417317;1.327421168;0.663710584;1.991131752;0.411228159763019;0.061219105;0.050553969;-0.010665136;-0.174212543616899;0.002259946;0.00183405;-0.000425896;-0.188454060406753;69.16645041;32.61409042;-36.55235999;-0.528469507591144;101.78054083;41.8550245052057;59.9255163247943;54.9419208333333;46.8386199966667;0.411228159763019;0.588771840236981;0.539807711624373;0.460192288375627;-0.998924731;-0.998876119;4.86120000000589e-05;-4.86643272425487e-05
