"sp";"treeid";"setTleaf";"anet.21p";"anet.0p";"Rd";"corranet";"anet.delta";"pr.real";"gsw.21p";"gsw.0p";"gsw.delta";"gsw.percent";"E.21p";"E.0p";"E.delta";"E.percent";"ETR.21p";"ETR.0p";"ETR.delta";"ETR.percent";"NPQ.21p";"NPQ.0p";"NPQ.delta";"NPQ.percent"
"Acer platanoides";"5";"25";11.12565617;13.02732127;0.7318689436818;10.3937872263182;2.6335340436818;0.253375789434423;0.167110706;0.153903667;-0.013207039;-0.0790316749664142;0.002153281;0.002021408;-0.000131873;-0.0612428196784348;43.16753823;46.20354464;3.03600641;0.0703307748017485;-0.999295743;-0.998948506;0.000347237000000056;-0.000347481716431224
"Acer platanoides";"5";"30";11.19484057;15.82135265;0.7357114452578;10.4591291247422;5.3622235252578;0.512683557235457;0.141080521;0.119938157;-0.021142364;-0.149860263132995;0.002801635;0.002413485;-0.00038815;-0.138544100141524;62.80696165;48.49585652;-14.31110513;-0.227858580546381;-0.999163519;-0.99903619;0.000127329000000009;-0.000127435597456005
"Acer platanoides";"5";"35";8.559844326;14.3794754;0.58936375386604;7.97048057213396;6.40899482786604;0.804091393218231;0.096887189;0.108201971;0.011314782;0.116783055807306;0.002724352;0.003074059;0.000349707;0.128363368610224;57.02255479;38.88966392;-18.13289087;-0.317995062423614;-0.999157632;-0.99922467;-6.70380000000748e-05;6.70945182752452e-05
"Acer platanoides";"6";"25";12.49737842;15.63803653;0.8080543974468;11.6893240225532;3.9487125074468;0.33780503473325;0.213275837;0.162148702;-0.051127135;-0.239723054046671;0.002692316;0.002124318;-0.000567998;-0.210970034721036;46.02980063;49.82158598;3.79178535;0.0823767493689447;-0.999452419;-0.998957811;0.000494608000000007;-0.000494878986330221
"Acer platanoides";"6";"30";13.80940639;17.34294153;0.8809244309006;12.9284819590994;4.4144595709006;0.341452274510357;0.231187806;0.176254075;-0.054933731;-0.237615175084105;0.004786702;0.003710485;-0.001076217;-0.224834760969035;83.11174248;54.3817139;-28.73002858;-0.345679536040453;-0.999309715;-0.999146499;0.000163216000000022;-0.000163328743381647
"Acer platanoides";"6";"35";7.233456329;9.460146401;0.51569616451266;6.71776016448734;2.74238623651266;0.408229256383693;0.074223072;0.049145995;-0.025077077;-0.337860941675925;0.002252496;0.00148963;-0.000762866;-0.338675851144686;61.66608103;34.67219855;-26.99388248;-0.43774279197129;-0.999215607;-0.999163925;5.16820000000529e-05;-5.17225708225481e-05
"Acer platanoides";"7";"25";9.299749485;8.384063043;0.6304580863969;8.6692913986031;-0.285228355603101;-0.0329009999189853;0.096949809;0.108007785;0.011057976;0.114058770347861;0.001286041;0.00144576;0.000159719;0.124194329729768;44.21214816;29.87391656;-14.3382316;-0.324305246334359;-0.999218997;-0.999005432;0.000213565000000027;-0.000213731925274862
"Acer platanoides";"7";"30";5.242007173;8.310019382;0.40509107838842;4.83691609461158;3.47310328738842;0.718040838305532;0.070758062;0.099293287;0.028535225;0.403278781151468;0.001603679;0.002188551;0.000584872;0.36470640321411;48.59089258;22.9818681;-25.60902448;-0.527033423760169;-0.999118191;-0.999160483;-4.22920000000548e-05;4.23293263810216e-05
"Acer platanoides";"7";"35";8.113982315;10.62757671;0.5646005777751;7.5493817372249;3.0781949727751;0.407741332988498;0.099869929;0.079011494;-0.020858435;-0.208856011102201;0.002874286;0.00225175;-0.000622536;-0.216588050040949;58.21884222;39.63487473;-18.58396749;-0.319208812497062;-0.999076859;-0.998954857;0.00012200200000001;-0.000122114729113158
"Acer platanoides";"8";"25";7.755144631;8.656393424;0.54467073280574;7.21047389819426;1.44591952580574;0.200530443105528;0.097168694;0.107989219;0.010820525;0.111358139690547;0.001307996;0.001473529;0.000165533;0.1265546683629;38.18685711;35.82056509;-2.36629202;-0.0619661370189152;-0.999290796;-0.999162025;0.000128771000000083;-0.000128862389722324
