sp,ecotype,treeid,tleaf,anet.21p,anet.0p,Rd,corranet,anet.delta,pr.CO2,pr,pr.percent,gsw.21p,gsw.0p,gsw.delta,gsw.percent,E.21p,E.0p,E.delta,E.percent,ETR.21p,ETR.0p,ETR.delta,ETR.percent,JT,JO1,JC1,JO2,JC2,JO1.percent,JC1.percent,JO2.percent,JC2.percent
#,,#,#,,,Calculated,anet.21p - Rd_calc,anet.0p - anet.21p (A),CO2 release correction (B),A+B,pr/anet.21p,C,D,D - C,D-C/C,E,F,F-E,F-E/E,G,H,H-G,H-G/G,,,,,,,,,
Fagus sylvatica,NA,4,35,7.564701251,14.18716725,0.534093507,7.030607744,6.622465999,3.311233,9.933698999,1.313164746,0.162245804,0.172137925,0.009892121,0.060969965,0.004845028,0.005165217,0.000320189,0.066086099,42.81938435,50.32871065,7.5093263,0.175372122,93.148095,122.3187945,-29.17069953,41.92619333,51.22190167,1.313164746,-0.313164746,0.450102531,0.549897469
Fagus sylvatica,NA,5,25,7.202399237,11.29824117,0.513971254,6.688427983,4.095841933,2.047920967,6.1437629,0.853016154,0.100789606,0.166641259,0.065851653,0.653357579,0.001336317,0.002127968,0.000791651,0.592412579,NA,58.31444113,NA,-0.76637569,307.922203,262.6626135,45.25958955,186.0750707,121.8471323,0.853016154,0.146983846,0.604292477,0.395707523
Fagus sylvatica,NA,5,30,16.99801688,25.62265046,1.058019858,15.93999702,8.62463358,4.31231679,12.93695037,0.761085864,0.243152147,0.239643592,-0.003508555,-0.014429463,0.003976285,0.003805106,-0.000171179,-0.043049983,119.0846806,105.5457167,-13.5389639,-0.113691903,224.6303973,170.9630201,53.6673772,104.4255532,120.2048441,0.761085864,0.238914136,0.464877214,0.535122786
Fagus sylvatica,NA,5,35,13.12714446,22.37402259,0.843031603,12.28411286,9.24687813,4.623439065,13.8703172,1.056613435,0.223945785,0.238559764,0.014613979,0.065256772,0.006574664,0.006873792,0.000299128,0.045497078,109.3661506,83.10896056,-26.25719004,-0.240085163,192.4751112,203.3717883,-10.89667713,93.31102221,99.16408895,1.056613435,-0.056613435,0.484795263,0.515204737
Fagus sylvatica,NA,6,25,9.036363498,11.87591981,0.615829629,8.420533869,2.839556312,1.419778156,4.259334468,0.471354928,0.135956068,0.169413735,0.033457667,0.246091752,0.001813141,0.002238076,0.000424935,0.234364013,NA,46.1725795,NA,-0.844839328,343.7517201,162.0290674,181.7226527,205.0708441,138.680876,0.471354928,0.528645072,0.596566743,0.403433257
Fagus sylvatica,NA,6,35,13.31004005,20.28290316,0.853189624,12.45685043,6.97286311,3.486431555,10.45929467,0.785819924,0.220165347,0.208046729,-0.012118618,-0.055043258,0.006577283,0.006127359,-0.000449924,-0.068405754,64.33808473,71.54524756,7.20716283,0.112020164,135.8833323,106.7798299,29.10350239,55.09544806,80.78788423,0.785819924,0.214180076,0.405461414,0.594538586
Fagus sylvatica,NA,7,25,10.15444349,11.05723168,0.677927791,9.476515699,0.90278819,0.451394095,1.354182285,0.133358592,0.129371605,0.161913735,0.03254213,0.251539973,0.001673031,0.002107384,0.000434353,0.259620413,44.92058567,35.05664576,-9.86393991,-0.219586182,79.97723143,10.66565096,69.31158047,26.23963831,53.73759312,0.133358592,0.866641408,0.328088855,0.671911145
Fagus sylvatica,NA,7,30,10.83156006,14.81690751,0.715534846,10.11602521,3.98534745,1.992673725,5.978021175,0.551907679,0.192479836,0.180572748,-0.011907088,-0.061861482,0.00408488,0.003885554,-0.000199326,-0.048796048,42.71963749,44.56182436,1.84218687,0.043122718,87.28146185,48.17130905,39.1101528,29.30348107,57.97798078,0.551907679,0.448092321,0.335735452,0.664264548
Fagus sylvatica,NA,7,35,8.669547615,14.54900179,0.595456675,8.07409094,5.879454175,2.939727088,8.819181263,1.017259683,0.203396366,0.18054417,-0.022852196,-0.11235302,0.005868231,0.005075751,-0.00079248,-0.135045809,62.18766309,44.69502378,-17.49263931,-0.281287935,106.8826869,108.7274482,-1.844761342,48.13633094,58.74635593,1.017259683,-0.017259683,0.450366026,0.549633974
Fagus sylvatica,NA,8,25,7.036040127,7.918180624,0.504731669,6.531308458,0.882140497,0.441070249,1.323210746,0.188061853,0.135935902,0.130275757,-0.005660145,-0.041638338,0.0017425,0.00171383,-2.87E-05,-0.016453372,9.438951246,29.24880057,19.80984932,2.09873415,38.68775182,7.275690303,31.41206151,7.029060872,31.65869094,0.188061853,0.811938147,0.181686982,0.818313018
Fagus sylvatica,NA,9,25,5.403083029,9.072700894,0.414037231,4.989045798,3.669617865,1.834808933,5.504426798,1.018756656,0.061724308,0.097991616,0.036267308,0.587569293,0.000824171,0.00127741,0.000453239,0.549933206,17.86607444,30.99895905,13.13288461,0.735073877,48.86503349,49.7815781,-0.916544613,18.16846758,30.69656591,1.018756656,-0.018756656,0.371809171,0.628190829
Betula pendula,NA,1,25,19.69518076,25.90993649,1.207820339,18.48736042,6.21475573,3.107377865,9.322133595,0.47332054,0.250855986,0.195846505,-0.055009481,-0.219287097,0.003118574,0.002502789,-0.000615785,-0.197457235,137.745437,110.5823041,-27.1631329,-0.19719806,248.3277411,117.5386205,130.7891206,113.0313454,135.2963957,0.47332054,0.52667946,0.45517003,0.54482997
Betula pendula,NA,1,30,18.06021899,25.74222957,1.117014563,16.94320443,7.68201058,3.84100529,11.52301587,0.638033009,0.207346783,0.235587883,0.0282411,0.136202258,0.00345084,0.003907414,0.000456574,0.132308076,164.6401098,105.4954131,-59.1446967,-0.359236256,270.1355229,172.3553806,97.78014232,131.9297646,138.2057583,0.638033009,0.361966991,0.48838362,0.51161638
Betula pendula,NA,1,35,20.51677759,27.47157431,1.253451827,19.26332576,6.95479672,3.47739836,10.43219508,0.508471422,0.197091658,0.170022284,-0.027069374,-0.137344088,0.004689835,0.004324042,-0.000365793,-0.077996987,207.9359841,130.3735091,-77.562475,-0.373011316,338.3094932,172.0207091,166.2887841,170.8282552,167.481238,0.508471422,0.491528578,0.504946679,0.495053321
Betula pendula,NA,1b,30,20.07348074,26.49815927,1.22883112,18.84464962,6.42467853,3.212339265,9.637017795,0.480087032,0.205665454,0.176935026,-0.028730428,-0.139694963,0.003880935,0.003335481,-0.000545454,-0.140547059,202.3318583,115.3361058,-86.9957525,-0.429965667,317.6679641,152.5082701,165.159694,158.2493608,159.4186033,0.480087032,0.519912968,0.498159647,0.501840353
Betula pendula,NA,1b,35,11.1931296,16.63944761,0.735616418,10.45751318,5.44631801,2.723159005,8.169477015,0.729865311,0.089310752,0.039100577,-0.050210175,-0.562196308,0.002600217,0.001097261,-0.001502956,-0.578011758,137.9838367,47.06052944,-90.92330726,-0.658941724,185.0443661,135.0574638,49.98690232,93.51456516,91.52980098,0.729865311,0.270134689,0.505362941,0.494637059
Betula pendula,NA,2,25,17.20816325,23.92167556,1.069691387,16.13847186,6.71351231,3.356756155,10.07026847,0.585202983,0.207559283,0.220740883,0.0131816,0.063507639,0.002625467,0.002790877,0.00016541,0.063002125,123.5885614,103.4655928,-20.1229686,-0.162822258,227.0541542,132.8727683,94.18138587,105.4810008,121.5731534,0.585202983,0.414797017,0.464563184,0.535436816
Betula pendula,NA,2,35,11.58341662,19.83327929,0.757292959,10.82612366,8.24986267,4.124931335,12.37479401,1.068319859,0.14822699,0.147968511,-0.000258479,-0.001743805,0.004216056,0.004206187,-9.87E-06,-0.002340813,92.28171914,85.00492573,-7.27679341,-0.078854116,177.2866449,189.3988434,-12.1121985,87.30198559,89.98465928,1.068319859,-0.068319859,0.492434078,0.507565922
