"sp","treeid","setTleaf","anet.21p","anet.0p","anet.delta","pr.proxy","gsw.21p","gsw.0p","gsw.delta","gsw.percent","E.21p","E.0p","E.delta","E.percent","ETR.21p","ETR.0p","ETR.delta","ETR.percent","Ca.21p","Ci.21p","C.21p","Ca.0p","Ci.0p","C.0p","Ca.delta","Ci.delta","C.delta","Ca.prop","Ci.prop","C.prop","NPQ.21p","NPQ.0p"
"Acer platanoides","7","35","8.113982315","10.62757671","2.513594395","0.309785540246152","0.099869929","0.079011494","-0.020858435","-0.208856011102201","0.002874286","0.00225175","-0.000622536","-0.216588050040949","58.21884222","39.63487473","-18.58396749","-0.319208812497062","416.8849032","268.8214785","148.0634247","416.1545806","268.8214785","147.3331021","-0.730322600000022","0","-0.730322600000022","-0.00175185667409417","0","-0.0049324983633181","-0.999076859","-0.998954857"
"Acer platanoides","8","25","7.755144631","8.656393424","0.901248792999999","0.116213021920622","0.097168694","0.107989219","0.010820525","0.111358139690547","0.001307996","0.001473529","0.000165533","0.1265546683629","38.18685711","35.82056509","-2.36629202","-0.0619661370189152","417.2172667","279.9527166","137.2645501","416.9211333","279.9527166","136.9684167","-0.296133399999974","0","-0.296133399999974","-0.000709782225319329","0","-0.00215739169205913","-0.999290796","-0.999162025"
"Acer platanoides","9","25","6.319735691","8.593680742","2.273945051","0.359816480021205","0.057207605","0.079236842","0.022029237","0.385075323464424","0.00077715","0.001082103","0.000304953","0.3923991507431","32.58073064","22.83310753","-9.74762311","-0.299183686753564","417.7820968","232.3155589","185.4665379","417.0055333","232.3155589","184.6899744","-0.776563499999952","0","-0.776563499999952","-0.00185877639551344","0","-0.00418708144764454","-0.999340101","-0.999150778"
"Acer platanoides","9","30","5.809436124","6.603033472","0.793597348","0.136604884030222","0.075408294","0.026912076","-0.048496218","-0.643115172450394","0.00152671","0.000557993","-0.000968717","-0.63451277583824","33.09214437","22.81155856","-10.28058581","-0.310665446610343","417.7811613","281.5975067","136.1836546","417.647","281.5975067","136.0494933","-0.134161300000017","0","-0.134161300000017","-0.000321128170505702","0","-0.000985149799321192","-0.999286273","-0.99914987"
"Acer platanoides","9","35","3.535764209","6.579330505","3.043566296","0.860794474997187","0.026464677","0.055967957","0.02950328","1.11481730912491","0.000793393","0.001645974","0.000852581","1.07460111193318","38.87619501","16.49063559","-22.38555942","-0.575816625424423","418.687","189.3893842","229.2976158","417.5835484","189.3893842","228.1941642","-1.10345160000003","0","-1.10345160000003","-0.00263550480430495","0","-0.00481231170306843","-0.999199256","-0.999257432"
"Fagus sylvatica","2","25","8.68494592","12.0774915","3.39254558","0.390623685081047","0.192489216","0.22056926","0.028080044","0.145878530670518","0.002422697","0.002753507","0.00033081","0.13654617147749","37.99147843","44.40934447","6.41786604","0.168929094239516","416.7768667","334.6165403","82.1603264","415.6076333","334.6165403","80.991093","-1.16923340000005","0","-1.16923340000005","-0.00280541818277471","0","-0.0142311192181443","-0.999431894","-0.999198412"
"Fagus sylvatica","2","30","10.34041404","14.24167651","3.90126247","0.377283003843819","0.250500478","0.204904419","-0.045596059","-0.182019848281487","0.004286212","0.004043707","-0.000242505","-0.0565779294164639","56.57133151","12.66496981","-43.9063617","-0.77612388692387","415.9768065","336.6370779","79.3397286","414.6409032","336.6370779","78.0038253","-1.33590329999998","0","-1.33590329999998","-0.0032114850614874","0","-0.0168377598912027","-0.999224632","-0.999473031"
"Fagus sylvatica","2","35","12.09496474","18.73807002","6.64310528","0.549245526779436","0.256733997","0.250245826","-0.00648817099999999","-0.0252719588204751","0.007760368","0.008010666","0.000250297999999999","0.0322533673660836","63.48822726","62.03152577","-1.45670149","-0.0229444347852783","414.9187419","318.0745452","96.8441967","412.6657419","318.0745452","94.5911967","-2.25299999999999","0","-2.25299999999999","-0.00542997886690542","0","-0.023264171491651","-0.999282424","-0.99903592"
"Fagus sylvatica","3","25","13.97339349","16.38143844","2.40804495","0.172330719214578","0.186987306","0.218487053","0.031499747","0.16845928033211","0.002425518","0.002835641","0.000410123","0.169086768269706","97.74002061","70.38395832","-27.35606229","-0.279885988556883","414.9587333","284.4177503","130.540983","414.1591333","284.4177503","129.741383","-0.799599999999998","0","-0.799599999999998","-0.00192693859854714","0","-0.00612527944576607","-0.999243845","-0.998794145"
"Fagus sylvatica","3","30","15.00028524","22.84770747","7.84742223","0.523151533750434","0.241378717","0.233390045","-0.007988672","-0.0330960082118591","0.00399251","0.003949206","-4.33040000000001e-05","-0.0108463097149412","86.03357427","85.21054139","-0.82303288","-0.00956641505346584","414.4437742","301.4250254","113.0187488","411.8026774","301.4250254","110.377652","-2.64109680000001","0","-2.64109680000001","-0.00637262993055721","0","-0.0233686607579929","-0.999157485","-0.998874621"
"Fagus sylvatica","3","35","13.69119397","24.27940162","10.58820765","0.773358968779551","0.217765733","0.236686335","0.018920602","0.0868851207182354","0.006413417","0.006754837","0.000341419999999999","0.0532352722425502","126.0299156","89.72240352","-36.30751208","-0.288086458735992","414.5411935","293.2729146","121.2682789","410.9634667","293.2729146","117.6905521","-3.57772679999999","0","-3.57772679999999","-0.0086305700280182","0","-0.0295025775285411","-0.998801993","-0.998739778"
"Fagus sylvatica","4","30","9.129552058","12.56708014","3.437528082","0.376527573331244","0.165644875","0.186051543","0.020406668","0.123195287508895","0.002913574","0.003174064","0.00026049","0.0894056577934866","58.99390267","44.32527535","-14.66862732","-0.248646498300907","416.5276129","315.4873618","101.0402511","415.4285806","315.4873618","99.9412188","-1.09903230000003","0","-1.09903230000003","-0.00263855808345626","0","-0.0108771730873107","-0.999168924","-0.999166263"
"Fagus sylvatica","4","35","7.564701251","14.18716725","6.622465999","0.875443164146708","0.162245804","0.172137925","0.009892121","0.060969965053765","0.004845028","0.005165217","0.000320188999999999","0.0660860989864247","42.81938435","50.32871065","7.5093263","0.175372122088906","416.8049333","322.2047534","94.6001799","414.5394194","322.2047534","92.334666","-2.26551390000003","0","-2.26551390000003","-0.00543542966745406","0","-0.0239483043520093","-0.999301125","-0.999221888"
"Fagus sylvatica","5","30","16.99801688","25.62265046","8.62463358","0.507390576258799","0.243152147","0.239643592","-0.00350855500000002","-0.0144294633762787","0.003976285","0.003805106","-0.000171179","-0.0430499825842465","119.0846806","105.5457167","-13.5389639","-0.113691902533431","413.7785484","288.1399833","125.6385651","410.9293333","288.1399833","122.78935","-2.84921509999998","0","-2.84921509999998","-0.00688584536587828","0","-0.0226778704272227","-0.999251758","-0.999084777"
