sp;treeid;setTleaf;anet.21p;anet.0p;Rd;corranet;anet.delta;pr.CO2;pr.real;pr.percent;gsw.21p;gsw.0p;gsw.delta;gsw.percent;E.21p;E.0p;E.delta;E.percent;ETR.21p;ETR.0p;ETR.delta;ETR.percent;JT;JO1;JC1;JO2;JC2;JO1.percent;JC1.percent;JO2.percent;JC2.percent;NPQ.21p;NPQ.0p;NPQ.delta;NPQ.percent;cat
Fagus sylvatica;7;35;8.669547615;14.54900179;0.595456675;8.07409094;5.879454175;2.939727088;8.819181263;1.017259683;0.203396366;0.18054417;-0.022852196;-0.11235302;0.005868231;0.005075751;-0.00079248;-0.135045809;62.18766309;44.69502378;-17.49263931;-0.281287935;106.8826869;108.7274482;-1.844761342;48.13633094;58.74635593;1.017259683;-0.017259683;0.450366026;0.549633974;-0.999059922;-0.999105571;-4.56E-05;4.57E-05;5
Fagus sylvatica;8;25;7.036040127;7.918180624;0.504731669;6.531308458;0.882140497;0.441070249;1.323210746;0.188061853;0.135935902;0.130275757;-0.005660145;-0.041638338;0.0017425;0.00171383;-2.87E-05;-0.016453372;9.438951246;29.24880057;19.80984932;2.09873415;38.68775182;7.275690303;31.41206151;7.029060872;31.65869094;0.188061853;0.811938147;0.181686982;0.818313018;-0.999608215;-0.999186357;0.000421858;-0.000422023;5
Fagus sylvatica;9;25;5.403083029;9.072700894;0.414037231;4.989045798;3.669617865;1.834808933;5.504426798;1.018756656;0.061724308;0.097991616;0.036267308;0.587569293;0.000824171;0.00127741;0.000453239;0.549933206;17.86607444;30.99895905;13.13288461;0.735073877;48.86503349;49.7815781;-0.916544613;18.16846758;30.69656591;1.018756656;-0.018756656;0.371809171;0.628190829;-0.999517512;-0.999237838;0.000279674;-0.000279809;5
Betula pendula;1;25;19.69518076;25.90993649;1.207820339;18.48736042;6.21475573;3.107377865;9.322133595;0.47332054;0.250855986;0.195846505;-0.055009481;-0.219287097;0.003118574;0.002502789;-0.000615785;-0.197457235;137.745437;110.5823041;-27.1631329;-0.19719806;248.3277411;117.5386205;130.7891206;113.0313454;135.2963957;0.47332054;0.52667946;0.45517003;0.54482997;-0.999397316;-0.999120485;0.000276831;-0.000276998;2
Betula pendula;1;30;18.06021899;25.74222957;1.117014563;16.94320443;7.68201058;3.84100529;11.52301587;0.638033009;0.207346783;0.235587883;0.0282411;0.136202258;0.00345084;0.003907414;0.000456574;0.132308076;164.6401098;105.4954131;-59.1446967;-0.359236256;270.1355229;172.3553806;97.78014232;131.9297646;138.2057583;0.638033009;0.361966991;0.48838362;0.51161638;-0.999051378;-0.99898278;6.86E-05;-6.87E-05;2
Betula pendula;1;35;20.51677759;27.47157431;1.253451827;19.26332576;6.95479672;3.47739836;10.43219508;0.508471422;0.197091658;0.170022284;-0.027069374;-0.137344088;0.004689835;0.004324042;-0.000365793;-0.077996987;207.9359841;130.3735091;-77.562475;-0.373011316;338.3094932;172.0207091;166.2887841;170.8282552;167.481238;0.508471422;0.491528578;0.504946679;0.495053321;-0.999111999;-0.998906635;0.000205364;-0.000205547;2
Betula pendula;1b;30;20.07348074;26.49815927;1.22883112;18.84464962;6.42467853;3.212339265;9.637017795;0.480087032;0.205665454;0.176935026;-0.028730428;-0.139694963;0.003880935;0.003335481;-0.000545454;-0.140547059;202.3318583;115.3361058;-86.9957525;-0.429965667;317.6679641;152.5082701;165.159694;158.2493608;159.4186033;0.480087032;0.519912968;0.498159647;0.501840353;-0.99913293;-0.998950494;0.000182436;-0.000182594;2
Betula pendula;1b;35;11.1931296;16.63944761;0.735616418;10.45751318;5.44631801;2.723159005;8.169477015;0.729865311;0.089310752;0.039100577;-0.050210175;-0.562196308;0.002600217;0.001097261;-0.001502956;-0.578011758;137.9838367;47.06052944;-90.92330726;-0.658941724;185.0443661;135.0574638;49.98690232;93.51456516;91.52980098;0.729865311;0.270134689;0.505362941;0.494637059;-0.999182808;-0.999257129;-7.43E-05;7.44E-05;2
Betula pendula;2;25;17.20816325;23.92167556;1.069691387;16.13847186;6.71351231;3.356756155;10.07026847;0.585202983;0.207559283;0.220740883;0.0131816;0.063507639;0.002625467;0.002790877;0.00016541;0.063002125;123.5885614;103.4655928;-20.1229686;-0.162822258;227.0541542;132.8727683;94.18138587;105.4810008;121.5731534;0.585202983;0.414797017;0.464563184;0.535436816;-0.99921451;-0.999007673;0.000206837;-0.000207;2
Betula pendula;2;35;11.58341662;19.83327929;0.757292959;10.82612366;8.24986267;4.124931335;12.37479401;1.068319859;0.14822699;0.147968511;-0.000258479;-0.001743805;0.004216056;0.004206187;-9.87E-06;-0.002340813;92.28171914;85.00492573;-7.27679341;-0.078854116;177.2866449;189.3988434;-12.1121985;87.30198559;89.98465928;1.068319859;-0.068319859;0.492434078;0.507565922;-0.999168821;-0.999089946;7.89E-05;-7.89E-05;2
Betula pendula;3;30;12.29752468;17.39314761;0.796954521;11.50057016;5.09562293;2.547811465;7.643434395;0.621542513;0.14117519;0.157133406;0.015958216;0.113038389;0.002426963;0.00268173;0.000254767;0.104973582;100.2440213;69.7060084;-30.5380129;-0.30463675;169.9500297;105.6311686;64.31886113;80.50662065;89.44340905;0.621542513;0.378457487;0.4737076;0.5262924;-0.999116732;-0.999019555;9.72E-05;-9.73E-05;2
Betula pendula;3a;25;15.19964411;16.11925782;0.958138234;14.24150588;0.91961371;0.459806855;1.379420565;0.090753478;0.230912795;0.225166914;-0.005745881;-0.024883337;0.002890727;0.002820919;-6.98E-05;-0.024148942;84.08462626;71.83886756;-12.2457587;-0.14563612;155.9234938;14.15059934;141.7728945;63.41661159;92.50688223;0.090753478;0.909246522;0.406716204;0.593283796;-0.999305966;-0.999060324;0.000245642;-0.000245813;2
Betula pendula;3b;35;12.09141349;17.0836679;0.785507105;11.30590638;4.99225441;2.496127205;7.488381615;0.619313997;0.199276025;0.153200461;-0.046075564;-0.231214789;0.005532129;0.00425919;-0.001272939;-0.230099298;109.986559;58.08311809;-51.90344091;-0.471907126;168.0696771;104.0879035;63.98177364;79.80268209;88.266995;0.619313997;0.380686003;0.474819036;0.525180964;-0.999119074;-0.999163226;-4.42E-05;4.42E-05;2
Betula pendula;3c;30;8.074479713;17.16281567;0.562406603;7.51207311;9.088335957;4.544167979;13.63250394;1.688344565;0.11740323;0.153446509;0.036043279;0.307004151;0.002066109;0.002639019;0.00057291;0.27728934;42.54282121;60.72059819;18.17777698;0.427281888;103.2634194;174.3442329;-71.08081347;47.3103337;55.9530857;1.688344565;-0.688344565;0.458151918;0.541848082;-0.999296887;-0.999106119;0.000190768;-0.000190902;2
Betula pendula;3c;35;11.97488078;18.76436592;0.779034879;11.1958459;6.78948514;3.39474257;10.18422771;0.850465896;0.182834679;0.18544481;0.002610131;0.014275908;0.005121222;0.005348542;0.00022732;0.044387843;79.9000513;75.94046466;-3.95958664;-0.049556747;155.840516;132.537044;23.30347195;71.96066189;83.87985407;0.850465896;0.149534104;0.461758365;0.538241635;-0.999200681;-0.999078201;0.00012248;-0.000122578;2
Betula pendula;4;25;21.53496978;21.4209041;1.310002222;20.22496756;-0.11406568;-0.05703284;-0.17109852;-0.007945148;0.242328464;0.198235474;-0.04409299;-0.181955472;0.003125192;0.002586148;-0.000539044;-0.172483483;191.1167359;97.36311652;-93.75361938;-0.490556826;288.4798524;-2.292015095;290.7718675;134.8933155;153.5865369;-0.007945148;1.007945148;0.467600473;0.532399527;-0.999273609;-0.998978434;0.000295175;-0.00029539;2
Betula pendula;4;30;16.27244868;24.7043991;1.0177218;15.25472688;8.43195042;4.21597521;12.64792563;0.777260133;0.208617872;0.661106997;0.452489125;2.168985431;0.003625881;0.008696744;0.005070863;1.39851887;153.6647036;99.10908949;-54.55561411;-0.355030224;252.7737931;196.4709921;56.30280098;125.1226656;127.6511275;0.777260133;0.222739867;0.494998568;0.505001432;-0.999085547;-0.99902161;6.39E-05;-6.40E-05;2
Betula pendula;4;35;17.13041824;23.73136879;1.065373429;16.06504481;6.60095055;3.300475275;9.901425825;0.578002573;0.151651179;0.137735183;-0.013915996;-0.09176319;0.003786372;0.003532429;-0.000253943;-0.067067631;202.8536743;108.3673698;-94.4863045;-0.465785522;311.2210441;179.8865644;131.3344797;161.7995808;149.4214633;0.578002573;0.421997427;0.519886376;0.480113624;-0.999193466;-0.998997297;0.000196169;-0.000196327;2
Betula pendula;4c;30;11.83990266;15.97358035;0.771538194;11.06836447;4.13367769;2.066838845;6.200516535;0.52369658;0.143607712;0.129988975;-0.013618737;-0.094832908;0.002478221;0.002272383;-0.000205838;-0.083058775;97.2305542;46.43281263;-50.79774157;-0.522446282;143.6633668;75.23601393;68.4273529;64.20250413;79.4608627;0.52369658;0.47630342;0.446895444;0.553104556;-0.999292176;-0.999337245;-4.51E-05;4.51E-05;2
Betula pendula;4c;35;15.46996421;24.91297209;0.973151812;14.4968124;9.44300788;4.72150394;14.16451182;0.915613742;0.202074767;0.204564725;0.002489958;0.012321964;0.005623142;0.005445138;-0.000178004;-0.031655612;131.4383922;99.55117459;-31.88721761;-0.242602006;230.9895668;211.4972216;19.49234516;112.7398066;118.2497602;0.915613742;0.084386258;0.488073155;0.511926845;-0.999174285;-0.999076417;9.79E-05;-9.79E-05;2
