"sp";"treeid";"setTleaf";"anet.21p";"anet.0p";"anet.delta";"pr.CO2";"pr.real";"pr.percent";"gsw.21p";"gsw.0p";"gsw.delta";"gsw.percent";"E.21p";"E.0p";"E.delta";"E.percent";"ETR.21p";"ETR.0p";"ETR.delta";"ETR.percent";"JT";"JO1";"JC1";"JO2";"JC2";"Rp.ETR";"JO1.percent";"JC1.percent";"Rp.ETR.percent";"JC2.percent";"NPQ.21p";"NPQ.0p";"NPQ.delta";"NPQ.percent"
"Fagus sylvatica";"2";"30";10.34041404;14.24167651;3.90126247;2.5444423955587;6.4457048655587;0.623350751780796;0.250500478;0.204904419;-0.045596059;-0.182019848281487;0.004286212;0.004043707;-0.000242505;-0.0565779294164639;56.57133151;12.66496981;-43.9063617;-0.77612388692387;69.23630132;43.1585004783437;26.0778008416563;18.5830967733333;2.32288709666667;50.6532045466667;0.623350751780796;0.376649248219204;0.0335501326960062;0.731598938431951;-0.999224632;-0.999473031;-0.000248398999999955;0.000248591750088037
"Fagus sylvatica";"2";"35";12.09496474;18.73807002;6.64310528;4.6238337835648;11.2669390635648;0.93153963701136;0.256733997;0.250245826;-0.00648817099999999;-0.0252719588204751;0.007760368;0.008010666;0.000250297999999999;0.0322533673660836;63.48822726;62.03152577;-1.45670149;-0.0229444347852783;125.51975303;116.926625175322;8.59312785467824;51.4265960466667;6.42832450583333;74.0931569833333;0.93153963701136;0.06846036298864;0.051213648454972;0.590290812360224;-0.999282424;-0.99903592;0.000246504000000036;-0.000246681012374172
"Fagus sylvatica";"3";"25";13.97339349;16.38143844;2.40804495;1.46501842690575;3.87306337690575;0.277174143823939;0.186987306;0.218487053;0.031499747;0.16845928033211;0.002425518;0.002835641;0.000410123;0.169086768269706;97.74002061;70.38395832;-27.35606229;-0.279885988556883;168.12397893;46.5996199161967;121.524359013803;74.82026998;9.3525337475;93.30370895;0.277174143823939;0.722825856176061;0.0556287913658885;0.554969669072892;-0.999243845;-0.998794145;0.000449699999999997;-0.000450040300223213
"Fagus sylvatica";"3";"30";15.00028524;22.84770747;7.84742223;5.1181672526283;12.9655894826283;0.864356195577805;0.241378717;0.233390045;-0.007988672;-0.0330960082118591;0.00399251;0.003949206;-4.33040000000001e-05;-0.0108463097149412;86.03357427;85.21054139;-0.82303288;-0.00956641505346584;171.24411566;148.015912326963;23.2282033330368;74.1619831333333;9.27024789166667;97.0821325266667;0.864356195577805;0.135643804422195;0.0541346945320589;0.566922443743529;-0.999157485;-0.998874621;0.000282863999999994;-0.000283102518118046
"Fagus sylvatica";"3";"35";13.69119397;24.27940162;10.58820765;7.36976311166775;17.9579707616678;1.31164387861402;0.217765733;0.236686335;0.018920602;0.0868851207182354;0.006413417;0.006754837;0.000341419999999999;0.0532352722425502;126.0299156;89.72240352;-36.30751208;-0.288086458735992;215.75231912;282.990208670528;-67.2378895505277;107.325028826667;13.4156286033333;108.427290293333;1.31164387861402;-0.311643878614025;0.0621806924627848;0.502554460297721;-0.998801993;-0.998739778;6.22150000000321e-05;-6.22896234048985e-05
"Fagus sylvatica";"4";"30";9.129552058;12.56708014;3.437528082;2.24199019036122;5.67951827236122;0.622102621933614;0.165644875;0.186051543;0.020406668;0.123195287508895;0.002913574;0.003174064;0.00026049;0.0894056577934866;58.99390267;44.32527535;-14.66862732;-0.248646498300907;103.31917802;64.2751315422678;39.0440464777322;44.5339798586667;5.56674748233333;58.7851981613333;0.622102621933614;0.377897378066386;0.0538791305642768;0.568966955485786;-0.999168924;-0.999166263;2.6610000000149e-06;-2.66321333269859e-06
"Fagus sylvatica";"4";"35";7.564701251;14.18716725;6.622465999;4.60946812161396;11.231934120614;1.48478224690356;0.162245804;0.172137925;0.009892121;0.060969965053765;0.004845028;0.005165217;0.000320188999999999;0.0660860989864247;42.81938435;50.32871065;7.5093263;0.175372122088906;93.148095;138.304637788886;-45.1565427888864;41.9261933306667;5.24077416633333;51.2219016693333;1.48478224690356;-0.484782246903562;0.0562628163928992;0.549897468856806;-0.999301125;-0.999221888;7.92370000000098e-05;-7.92924154868832e-05
"Fagus sylvatica";"5";"25";7.202399237;11.29824117;4.095841933;2.49184879440821;6.58769072740821;0.914652258314989;0.100789606;0.166641259;0.065851653;0.653357579351982;0.001336317;0.002127968;0.000791651;0.592412578751898;249.6077619;58.31444113;-191.29332077;-0.766375690058218;307.92220303;281.641738386716;26.2804646432838;186.075070721333;23.2593838401667;121.847132308667;0.914652258314989;0.0853477416850106;0.0755365595961931;0.395707523230455;-0.999142487;-0.999056426;8.60609999999706e-05;-8.61348617636862e-05
"Fagus sylvatica";"5";"30";16.99801688;25.62265046;8.62463358;5.6250722672118;14.2497058472118;0.838315784000551;0.243152147;0.239643592;-0.00350855500000002;-0.0144294633762787;0.003976285;0.003805106;-0.000171179;-0.0430499825842465;119.0846806;105.5457167;-13.5389639;-0.113691902533431;224.6303973;188.311207622905;36.3191896770953;104.425553186667;13.0531941483333;120.204844113333;0.838315784000551;0.161684215999449;0.0581096516999898;0.535122786400081;-0.999251758;-0.999084777;0.00016698100000001;-0.000167106035754415
"Fagus sylvatica";"5";"35";13.12714446;22.37402259;9.24687813;6.43615081921455;15.6830289492145;1.19470224442206;0.223945785;0.238559764;0.014613979;0.0652567718566349;0.006574664;0.006873792;0.000299128;0.0454970778734853;109.3661506;83.10896056;-26.25719004;-0.240085162510968;192.47511116;229.950447298237;-37.4753361382366;93.3110222133333;11.6638777766667;99.1640889466667;1.19470224442206;-0.194702244422055;0.0605994079253746;0.515204736597003;-0.998975585;-0.998930647;4.49380000000499e-05;-4.49840823687897e-05
